Category,Sub Category,Check Name,Completed,Hide By Default,Priority,Description of Issue,Tools,Links to Tools or how to run,Applicability / N/A,Sources,AVSS Mapping,CWE,NIST Mapping
GENERAL,Baseline checks and enumeration,Run ranger automation,No,No,3,,,,,,,,
,,"Directory, header, file and parameter enumeration",No,No,2,,,,,,,,
"Architecture, Design and Threat Modeling Requirements (V1)",SDLC,SDLC to address security in all development stages,,Yes,0,,,,,,1.1.1,,
,,Threat modelling is in place for all design changes or sprint planning,,Yes,0,,,,,,1.1.2,1053,
,,Verify all user stories consider security constraints (e.g. a user should be able to edit their profile but not others),,Yes,0,,,,,,1.1.3,1110,
,,Verify documentation and justification of trust boundaries,,Yes,0,,,,,,1.1.4,1059,
,,,,Yes,0,,,,,,1.1.5,1059,
,,,,Yes,0,,,,,,1.1.6,637,
,,,,Yes,0,,,,,,1.1.7,637,
,Authentication Architectural Requirements,Verify use of low privilege OS accounts for applications,,Yes,0,,,,,,1.2.1,250,
,,Verify communication between application components are authenticated,,Yes,0,,,,,,1.2.2,306,
,,Verify implementation of centralised security controls,,Yes,0,,,,,,1.2.3,306,
,,Verify availability of a secure coding checklist or policy for developers,,Yes,0,,,,,,1.2.4,306,
,Access Control Architecture Requirements,"Verify trusted enforcement points such as access control gateways, servers etc enforce access controls",,Yes,0,,,,,,1.4.1,602,
,,Verify chosen control solution is flexible to meet application requirements,,Yes,0,,,,,,1.4.2,284,
,,"Verify enforcement of principle of least privilege in functions, data files etc",,Yes,0,,,,,,1.4.3,272,
,,,,Yes,0,,,,,,1.4.4,284,
,,,,Yes,0,,,,,,1.4.5,275,
,Input and Output Architectural Requirements,,,Yes,0,,,,,,1.5.1,,
,,,,Yes,0,,,,,,1.5.2,,
,,,,Yes,0,,,,,,1.5.3,,
,,,,Yes,0,,,,,,1.5.4,,
,Cryptographic Architectural Requirements,,,Yes,0,,,,,,1.6.1,,
,,,,Yes,0,,,,,,1.6.2,,
,,,,Yes,0,,,,,,1.6.3,,
,,,,Yes,0,,,,,,1.6.4,,
,"Errors, Logging and Auditing Architectural Requirements",,,Yes,0,,,,,,1.7.1,,
,,,,Yes,0,,,,,,1.7.2,,
,Data Protection and Privacy Architectural Requirements,,,Yes,0,,,,,,1.8.1,,
,,,,Yes,0,,,,,,1.8.2,,
,Communications Architectural Requirements,,,Yes,0,,,,,,1.9.1,,
,,,,Yes,0,,,,,,1.9.2,,
, Malicious Software Architectural Requirements,,,Yes,0,,,,,,1.10.1,,
,Business Logic Architectural Requirements,,,Yes,0,,,,,,1.11.1,,
,,,,Yes,0,,,,,,1.11.2,,
,,,,Yes,0,,,,,,1.11.3,,
,Secure File Upload Architectural Requirements,,,Yes,0,,,,,,1.12.1,,
,,,,Yes,0,,,,,,1.12.2,,
,Configuration Architectural Requirements,,,Yes,0,,,,,,1.14.1,,
,,,,Yes,0,,,,,,1.14.2,,
,,,,Yes,0,,,,,,1.14.3,,
,,,,Yes,0,,,,,,1.14.4,,
,,,,Yes,0,,,,,,1.14.5,,
,,,,Yes,0,,,,,,1.14.6,,
 Authentication Verification Requirements (V2),Password Security Checks,Passwords should be 8 chars minimum (OWASP says 12 but we ignore that in favour of NCSC),No,No,2,,,,,,2.1.1,521,5.1.1.2
