"Category","Sub Category","Item","Done","Subtask","Subtask Done","Subtask Hidden","ASVS","Description","Tools","Links","Applicability","Sources","Tags","Priority","Hidden","Subcategory Notes"
"GENERAL","Baseline checks and enumeration","Run ranger automation","FALSE","Todo: Subtask","FALSE","FALSE","","Perform an automated baseline scan of the application to quickly identify obvious security issues and map out the attack surface. This test verifies that common vulnerabilities and misconfigurations (e.g., default credentials, known CVEs, open directories) are checked early using automated tools. It’s important because automation can catch low-hanging fruit and provide broad coverage – things an attacker would easily find – ensuring no basic weakness is overlooked before deeper manual testing.

Todo: Description","- **Automated Scanners**: Use tools like **OWASP ZAP (Baseline scan)** or **Nikto** to scan for common web server issues and known vulnerabilities. These tools will crawl the site and report issues like server version disclosures, directory indexing, or default files.
- **Nuclei**: Run a set of **Nuclei** templates for known vulnerabilities/misconfigurations. Nuclei has templates for default admin pages, config leaks, CVE-specific checks, etc., which can be launched in one go to flag any low-hanging issues.
- **Burp Suite (Automated)**: Burp’s **Active Scanner** or extensions (like Active Scan++ or task scheduler) can perform an initial probe for common vulnerabilities (SQLi, XSS, etc.) across all discovered pages. Combine this with Burp’s **Spider** to ensure all endpoints are covered.
- These automated tasks can be orchestrated via a script or tool suite (sometimes referred to as a “ranger” automation script) to run sequentially. The results give a broad overview that guides where to do focused manual testing next. Always review findings manually to weed out false positives.

Todo: Tools","- **OWASP WSTG** – *Information Gathering* and *Configuration Management Testing* sections stress running automated discovery and vulnerability scans early. They outline using scanners to map the application and catch obvious misconfigurations.
- **NIST SP 800-115** – The NIST security testing guide advises using automated **vulnerability scanners** in the assessment’s discovery phase to quickly enumerate hosts, services, and known vulnerabilities. This ensures comprehensive coverage of common issues before manual testing.

Todo: Links","Applicable to virtually all web apps. Only mark N/A if the environment strictly forbids automation (e.g., a very sensitive app where scanning is not allowed) or if the scope is so limited (a simple static page) that an automated scan would be redundant. In standard engagements, running baseline automation is always recommended to uncover easy-to-find issues. Even single-page apps or APIs benefit from automation to ensure no well-known weakness is missed.

Todo: Applicability","https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/01-Information_Gathering/README.html, https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-115.pdf

Todo: Sources","Todo: Tags","2","FALSE",""
"GENERAL","Baseline checks and enumeration","Directory, header, file and parameter enumeration","FALSE","Todo: Subtask","FALSE","FALSE","","Systematically discover hidden or unreferenced content and inputs in the application. This includes enumerating directories/files (to find pages or data not linked in the UI), examining HTTP headers (for insights or security settings), and finding HTTP parameters (including ones not exposed by the UI). This matters because sensitive information or functionalities (admin pages, backup files, debug endpoints, or optional parameters) are often accessible if one knows where to look – and attackers will try to find these. By enumerating these, we ensure the app isn’t exposing anything unintended that could lead to compromise.

Todo: Description","- **Directory/File Brute-Forcing**: Use tools like **ffuf**, **Gobuster**, or **Dirbuster** with common wordlists (e.g., SecLists) to find hidden directories and files. For example, try enumerating `/admin`, `/backup/`, `.git/`, or files like *config.php*, *backup.zip*. These tools send a high volume of requests with different filenames and analyze which ones return valid responses.
- **Parameter Discovery**: Utilize a Burp Suite extension like **ParamMiner** to guess hidden HTTP parameters. This involves sending requests with common parameter names (like `?debug=true` or `X-Original-URL`) and seeing if the application responds differently. Burp Intruder can also test parameter fuzzing by inserting payloads in parameter names as well as values to see undisclosed functionality.
- **HTTP Headers Inspection**: Intercept and review HTTP response headers using Burp or **OWASP ZAP**. Look for any unusual headers (e.g., `X-Debug-Info`, `X-Version`), which might reveal internal info or debugging is enabled. Also check standard security headers here (like CSP, HSTS) – their presence or absence can be noted for other tests. For request headers, you can try adding headers like `X-Forwarded-For` or `X-Originating-IP` to probe if the app trusts them (which might surface in logs or behavior).
- **Infrastructure Enumeration**: If applicable, use tools like **Nmap** (with http-enum or http-index scripts) to enumerate well-known files and directories. This can supplement web-specific tools by discovering server config files or default pages.
- Many of these tests can be grouped: e.g., run a dir brute-force that finds an `/api/` directory, then enumerate parameters on its endpoints. By combining results (files found, parameters found), you build a more complete attack surface map.

Todo: Tools","- **OWASP WSTG** – *Content Discovery* and *File/Directory Enumeration* (WSTG-INFO-*** and WSTG-CONFIG-***): Emphasize trying common filenames, backup extensions, and unlinked pages. Also discusses reviewing server headers and responses for hidden clues.
- **OWASP Cheat Sheet – Content Discovery**: Provides techniques and common wordlists for finding hidden files and parameters (e.g., using robots.txt clues, common admin paths).
- **PTES (Pre-Test Phase)** – Recommends comprehensive enumeration of application entry points (URLs, parameters) as a foundation for later testing, aligning with this step of gathering all potential targets.

Todo: Links","Nearly always relevant. Only not applicable if the application is extremely minimal (a single static page with no inputs) – and even then, checking for server headers and any accessible files is quick. In most cases, dynamic apps, APIs, and even static file servers may have hidden paths or parameters. This should be done unless it’s absolutely certain there are no hidden elements (which is rare without testing). If the engagement scope excludes active probing or if credentials are needed to see anything (and none are provided), then broad enumeration might be limited, but generally some form of this test applies to every assessment.

Todo: Applicability","https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/02-Configuration_and_Deployment_Management_Testing/04-Review_Old_Backup_and_Unreferenced_Files_for_Sensitive_Information, https://owasp.org/www-community/attacks/Content_Spanning_Enumeration

Todo: Sources","Todo: Tags","2","FALSE",""
"Architecture, Design and Threat Modeling Requirements (V1)","SDLC","SDLC to address security in all development stages","FALSE","Todo: Subtask","FALSE","TRUE","1.1.1","Verify that the software development life cycle (SDLC) explicitly integrates security activities at every stage (requirements, design, coding, testing, deployment, maintenance). This means the organization has processes to consider security early (not just as an afterthought). A security-aware SDLC helps catch design flaws and vulnerabilities before the app goes live. Without it, critical issues might slip in due to lack of threat modeling, code review, or security testing during development, increasing the likelihood of vulnerabilities in the deployed application.

Todo: Description","- **Process Review & Interviews**: This is more of a procedural check. Interview developers or project managers to confirm if there are security checkpoints (e.g., threat modeling sessions during design, code review with security in mind, use of SAST/DAST tools during coding/testing). Request any SDLC documentation or policies that outline secure coding guidelines and security requirements in user stories.
- **Documentation Audit**: Examine artifacts like design documents or requirement backlogs for evidence of security considerations (e.g., “user password must be stored hashed with Bcrypt” in requirements). The presence of security user stories or abuse cases is a positive sign.
- **Tool Integration**: Check if the project uses tools like **GitHub/GitLab CI security scans**, **OWASP dependency-check** for third-party libraries, or if they have a **security champion** role. The existence of these tools in the build pipeline indicates security is built-in at each stage.
- Optionally, if the organization uses a maturity model (like **OWASP SAMM**), see if they have self-assessed or have metrics to track security activities in development. This isn’t a “tool” per se, but it’s evidence of practice.

Todo: Tools","- **OWASP ASVS 1.1** – Requires that an organization establish an SDLC with security considerations (verification requirement V1.1.1). Essentially, it mandates having a security-focused methodology in development.
- **NIST SSDF (SP 800-218)** – NIST’s Secure Software Development Framework emphasizes adding security steps in each SDLC phase (e.g., security requirements, design reviews, code analysis). It provides guidance on integrating security from planning to deployment.
- **OWASP SAMM** – The Software Assurance Maturity Model provides a framework for assessing and improving SDLC security. It highlights practices like security requirements and secure architecture as part of a mature SDLC.

Todo: Links","Applies to any organized development process. If the application is acquired off-the-shelf or not developed in-house, this might be N/A (since there is no SDLC under the tester’s purview). Also, if you are only testing a deployed app and not assessing the development process, you might mark this N/A. In most assessments for custom-built apps, however, understanding if the dev lifecycle includes security (or not) is valuable information.

Todo: Applicability","https://owasp.org/ASVS/Pages/Requirement_1.1_Security_Architecture#v11-understand-security-requirements, https://csrc.nist.gov/publications/detail/sp/800-218/final

Todo: Sources","Todo: Tags","2","TRUE",""
"Architecture, Design and Threat Modeling Requirements (V1)","SDLC","Threat modelling is in place for all design changes or sprint planning","FALSE","Todo: Subtask","FALSE","TRUE","1.1.2","Confirm that the team performs threat modeling during design changes or at sprint planning, meaning they systematically think about potential attackers, threats, and mitigations for new features or changes. Effective threat modeling ensures security is considered at the design phase – identifying risky components or abuse cases early. Without it, new features might introduce vulnerabilities because developers didn’t anticipate how an attacker might target them or what new trust boundaries are created.

Todo: Description","- **Interview & Process Check**: Ask the development team how they incorporate threat modeling. Do they use frameworks like **STRIDE** or **PASTA** during design meetings? Evidence could be in design documents listing threats/mitigations or tickets in the backlog for threat model reviews.
- **Examine Artifacts**: If threat models exist, review them. These might be data flow diagrams (DFDs) with annotations of threats, or a list of identified threats per feature and how they were addressed. The presence of these documents for each significant change or feature is a good sign.
- **Tools for Threat Modeling**: Some teams use tools like **OWASP Threat Dragon** or Microsoft’s **Threat Modeling Tool**. Inquire if such tools are used and if outputs (threat lists) are stored. While not hands-on “tools” for a tester, seeing their output or usage is part of verifying this requirement.
- **Sprint Ceremonies**: If possible, sit in (or get minutes from) a sprint planning meeting to see if security questions are raised for each user story (e.g., “What’s the worst that could happen if this feature is abused?”). This indicates threat modeling thinking is embedded in planning.

Todo: Tools","- **OWASP ASVS 1.1** – Highlights threat modeling as a control (V1.1.2: “Verify that threat modeling is performed regularly for critical or new functionality”). ASVS requires that design changes undergo a security review, essentially what threat modeling provides.
- **OWASP WSTG – Architecture Design**: The WSTG suggests reviewing architecture and design for security, implying threat modeling should inform the assessment of new features.
- **Microsoft SDL** – Microsoft’s Secure Development Lifecycle mandates threat modeling during the design phase of each iteration. This is a widely recognized best practice: every new feature or change should have its threats enumerated and addressed.

Todo: Links","Relevant for projects using iterative development (sprints) or any process where features change over time. If an application is in maintenance with no new features and threat modeling was done once initially, ongoing threat modeling for each change might be N/A (because no new design changes). It’s also less applicable if the organization follows a waterfall model with one-time threat modeling at project start (then you’d evaluate that one-time model instead). In most modern Agile teams, this should be done each sprint, so flag it N/A only if development is basically complete or outside the scope of the review.

Todo: Applicability","https://owasp.org/ASVS/Pages/Requirement_1.1_Security_Architecture#v112-threat-modeling, https://www.microsoft.com/en-us/securityengineering/sdl/practices#phase=requirementdesign

Todo: Sources","Todo: Tags","2","TRUE",""
"Architecture, Design and Threat Modeling Requirements (V1)","SDLC","Verify all user stories consider security constraints (e.g. a user should be able to edit their profile but not others)","FALSE","Todo: Subtask","FALSE","TRUE","1.1.3","Ensure that for each user story or functional requirement, the security constraints and access controls are explicitly noted. In practice, this means that acceptance criteria for features include what users *should not* be able to do, not just the positive functionality. For example, a story “User can edit their profile” should include the caveat “and not be able to edit others’ profiles.” This matters because it embeds security and access control into the development process – developers and testers will then naturally test those constraints. If security constraints aren’t documented in user stories, there’s a risk that devs might implement a feature without proper access checks or other security considerations, since it wasn’t clearly defined as part of the requirement.

Todo: Description","- **Backlog Review**: Look at the project’s issue tracker or story backlog (e.g., in JIRA, Trello). Check a sample of user stories or requirements for explicit security-related acceptance criteria (like authorization rules, data validation rules). For instance, a story might say “As an admin, I can delete any user’s post, but regular users can only delete their own posts.” The second clause is the security constraint.
- **Interview**: Ask product owners or developers how they capture security in requirements. Do they use misuse cases or abuse stories (like “As an attacker, I should not be able to X”)? Their approach will indicate if it’s systematic or ad-hoc.
- **Review Test Cases**: If QA has test cases for user stories, see if negative tests are included (e.g., test that user A cannot access user B’s data). The presence of these implies the story had that constraint defined from the start.
- There isn’t a specific automation tool for this verification; it’s more about process. However, traceability tools in ALM (Application Lifecycle Management) software can show if each story has a linked security requirement or not. Utilizing those, you could gauge coverage (e.g., how many stories have a “Security” tag or sub-task).

Todo: Tools","- **OWASP ASVS 1.1.3** – Mentions that all functional requirements should include security requirements. This aligns with making sure user stories (which are bite-size requirements) document their security constraints.
- **OWASP Proactive Controls (2018) – C1: Define Security Requirements**: Emphasizes building security into requirements phase. Each feature’s requirements should state what security controls or limits apply, which is essentially what this item is asking for.
- **NIST SP 800-64 (Secure Software Development)** – Advises that security requirements be identified alongside functional requirements. In an Agile context, that means each user story should carry its security considerations.

Todo: Links","This is applicable to teams that use user stories or similar requirement definitions (common in Agile methodologies). If the development process doesn’t use user stories (maybe a formal spec or use cases instead), then the concept still applies: check those specs for security constraints. Only mark N/A if you truly have no access to requirements (black-box testing with zero insight into dev process) or if the application is COTS with no custom dev requirements. In a typical custom development project, this check is usually relevant.

Todo: Applicability","https://owasp.org/www-project-proactive-controls/#div-c1, https://csrc.nist.gov/publications/detail/sp/800-64/rev2/final

Todo: Sources","Todo: Tags","2","TRUE",""
"Architecture, Design and Threat Modeling Requirements (V1)","SDLC","Verify documentation and justification of trust boundaries","FALSE","Todo: Subtask","FALSE","TRUE","1.1.4","Confirm that the system’s architecture documentation clearly identifies trust boundaries (places where the level of trust or privilege changes, such as between client and server, or between the web app and the database) and that these boundaries are justified and secure. Essentially, the design should show where data transitions from one trust context to another (e.g., from the internet into the internal network, or from an authenticated user zone to an admin zone) and explain how those boundaries are protected. This matters because unclear or undocumented trust boundaries often lead to assumptions that attackers exploit – for example, if it’s not documented that “the API gateway is a trust boundary,” developers might not validate input assuming some upstream component did. Well-defined boundaries help ensure proper controls (like authentication, encryption, validation) are in place whenever data or commands cross into a more trusted zone.

Todo: Description","- **Architecture Diagram Review**: Obtain network and application architecture diagrams. Look for annotations or demarcations like firewalls, tiers (web, app, DB), and any external integrations. Verify that each line crossing from one component to another is recognized as a potential trust boundary. For instance, a call from the web server to the database crosses a boundary where input should be sanitized and authenticated. If diagrams aren’t annotated, that might indicate this hasn’t been documented.
- **Threat Model Documents**: If threat modeling is done (from a previous item), those often explicitly call out trust boundaries. Check if the threat model lists boundaries and the rationale for trust decisions (e.g., “Module A and Module B run under different privileges, so their interface is a trust boundary – input is validated and authenticated here”).
- **Interviews**: Ask architects or senior developers to describe the trust boundaries. A justified trust boundary means they can explain why, say, a separate microservice is or isn’t in the same trust domain. For example, *“We consider the client browser to server connection a trust boundary – hence we enforce TLS and input validation at that point”*.
- No automated tool will “detect” trust boundaries; this is a design verification. However, using a checklist (like OWASP Architectural Review checklist) can ensure you ask about typical boundaries: user-to-app, app-to-database, app-to-external system, etc., and see if each is documented and has controls.

Todo: Tools","- **OWASP ASVS 1.1.4** – Requires that architecture documentation includes delineation of trust boundaries. It expects that each trust boundary is identified and security controls are in place at those boundaries.
- **OWASP WSTG – Architecture Review**: Suggests reviewing the design to identify trust zones and boundaries, ensuring controls like validation, authentication, and encryption are applied when crossing them.
- **NIST SP 800-53 (SA-17)** – The control “Security Architecture” in NIST 800-53 asks for an architecture that includes considerations of trust (like separating different domains and documenting interactions). While more high-level, it aligns with marking and justifying trust boundaries in system docs.

Todo: Links","Relevant for any non-trivial application. Even simple web apps have at least one trust boundary (user vs server). This would be N/A only if no architecture documentation exists and the test scope doesn’t allow architectural analysis (pure black-box with zero design insight). In a typical architecture review or white-box pentest, you should evaluate this. If the application is extremely simple (e.g., static site with no back-end logic), trust boundaries are minimal (client vs server), but still should be noted. Otherwise, assume it applies.

Todo: Applicability","https://owasp.org/ASVS/Pages/Requirement_1.1_Security_Architecture#v114-document-architecture, https://cwe.mitre.org/data/definitions/486.html

Todo: Sources","Todo: Tags","2","FALSE",""
"Architecture, Design and Threat Modeling Requirements (V1)","SDLC","(no title)","FALSE","Todo: Subtask","FALSE","TRUE","1.1.5
1.1.6
1.1.7","Todo: Description

Todo: Description

Todo: Description","Todo: Tools

Todo: Tools

Todo: Tools","Todo: Links

Todo: Links

Todo: Links","Todo: Applicability

Todo: Applicability

Todo: Applicability","Todo: Sources

Todo: Sources

Todo: Sources","Todo: Tags","2","FALSE",""
"Architecture, Design and Threat Modeling Requirements (V1)","Authentication Architectural Requirements","Verify use of low privilege OS accounts for applications","FALSE","Todo: Subtask","FALSE","TRUE","1.2.1","Ensure that the application (and its components) run under operating system accounts with the minimum privileges necessary, rather than as a superuser or high-privileged account. This is about defense in depth: if an attacker compromises the application, using a low-privilege OS account limits the damage (the attacker can’t immediately take over the whole server or OS). Conversely, if the app runs as admin/root, any code execution or directory traversal becomes far more severe. Verifying this means checking deployment configurations and processes to see that accounts like *www-data*, *tomcat*, or custom least-privileged users are used for the app service.

Todo: Description","- **Configuration Inspection**: If you have access to the server (during a config review phase), check the user under which the application process is running. On Linux, this might mean running `ps -ef` and seeing that the web server (e.g., Apache, Nginx, Tomcat) is running as a limited user (not root). For Windows, ensure services run as NetworkService or a dedicated low-priv user, not as LocalSystem unless absolutely necessary.
- **File/Process Access Tests**: Even in a black-box test, you might glean some info. For example, attempt to access a protected file via the app (like read `/etc/shadow` on Linux or `C:\Windows\System32\...` on Windows through a file access vulnerability). If the application user is low privilege, direct access will be denied. This is more of an indirect test by probing for common protected resources (though this blurs into vulnerability testing, not just architecture).
- **Review Deployment Scripts or Dockerfiles**: If the app is containerized or has infrastructure as code, inspect those. Dockerfiles, for instance, should use a non-root user (`USER appuser`). Kubernetes manifests should not set privileged pods and should run as specific user IDs. Checking these configurations verifies enforcement of least privilege at runtime.
- **Ask the DevOps/Engineers**: Sometimes the quickest way – inquire which OS user the app runs under and what privileges it has. Verify that answer by cross-checking with documentation or a quick runtime test as above.

Todo: Tools","- **OWASP ASVS 1.2.1** – States that all components should run with minimal necessary privileges, referencing that applications shouldn’t run as root/admin. It’s an explicit requirement to use low-privilege accounts.
- **OWASP Server Security Configuration Guide** – Recommends configuring web and application servers to use dedicated service accounts with restricted permissions (no shell login, limited folder access).
- **NIST SP 800-53 (CM-6 Least Functionality)** – Although general, it implies that systems should be configured to provide only essential capabilities and restrict privileges; running services under least privilege accounts is part of that practice.

Todo: Links","Applies to almost all server-side applications and services. Only N/A if the application runs in an environment where OS accounts aren’t applicable (e.g., serverless functions running in a managed sandbox, where you rely on the platform’s isolation). In traditional deployments (VMs, containers, on-prem servers), this is always relevant. It might also be N/A for front-end only components (pure JavaScript in browser), but for anything hosted, check this.

Todo: Applicability","https://cheatsheetseries.owasp.org/cheatsheets/Server_Security_Cheat_Sheet.html#operating-system-accounts, https://cwe.mitre.org/data/definitions/250.html

Todo: Sources","Todo: Tags","2","FALSE",""
"Architecture, Design and Threat Modeling Requirements (V1)","Authentication Architectural Requirements","Verify communication between application components are authenticated","FALSE","Todo: Subtask","FALSE","TRUE","1.2.2","Check that when different components or microservices of the application talk to each other, they do so in an authenticated manner – meaning each component verifies the identity/credentials of the others. For example, if the web front-end calls a backend API or database, does that API require a key, token, or certificate from the caller? This prevents an attacker who gains network access from impersonating a service. It’s important because as applications get split into services, trust should not be implicit; otherwise, a compromised or rogue service (or an external attacker) could call internal APIs without restriction if they aren’t verifying identities.

Todo: Description","- **Architecture Diagram & Config Review**: Identify all the inter-component communications (web server to app server, app server to database, microservice A to B, etc.). For each, determine what authentication mechanism is in place. This could be checking API gateway configs (are services using mutual TLS with certificates? Are they passing JWTs or API keys on internal calls?). Configuration files (like cloud gateway settings or Docker/Kubernetes secrets) may reveal internal auth tokens or certificates in use.
- **Traffic Analysis**: If you can observe internal traffic (in a test environment), use a tool like **Wireshark** or a **proxy** between services to capture communications. Verify that credentials or tokens are being used. For instance, when Service A calls Service B, do you see an Authorization header or a client certificate being presented? If internal APIs are called over plain protocols with no auth, that’s a finding.
- **Simulated Calls**: If you have the network access in a test environment, try to directly call an internal service endpoint without credentials. For example, call an internal API URL that the front-end would call, but do it manually without the expected token. If the request succeeds or you can perform actions, that indicates missing internal authentication. (This must be done carefully and usually only in a controlled environment.)
- **Review Documentation/Policies**: Sometimes architecture docs or security policies state that “all service-to-service calls must be mutually authenticated”. Cross-check such statements with actual implementation evidence (certs, tokens in config).

Todo: Tools","- **OWASP ASVS 1.2.2** – Requires that all communications between components are authenticated (and secured). This maps exactly to ensuring microservice/API calls aren’t implicitly trusted.
- **OWASP Microservices Security** – Guidelines suggest using mutual TLS or signed tokens (JWT/OAuth) for service-to-service auth, rather than trusting network location. This item aligns with those best practices.
- **NIST Zero Trust Architecture (NIST SP 800-207)** – Though broad, it advocates that no network segment should be inherently trusted. Each request, even internal, should be authenticated and authorized. This underpins the need for inter-component authentication.

Todo: Links","Applicable to multi-tier or microservice architectures. In a monolithic app where everything runs in one process, it’s less directly relevant (though the database authentication still applies – the app should auth to the DB). Mark N/A only if the application truly has no distinct components (e.g., a simple PHP app talking to a local DB with OS file socket authentication might be considered out-of-scope for this). Otherwise, any web app with separate front-end/back-end, or using external services, should have this verified.

Todo: Applicability","https://owasp.org/ASVS/Pages/Requirement_1.2_Authentication_Architectural#v122, https://csrc.nist.gov/publications/detail/sp/800-207/final

Todo: Sources","Todo: Tags","2","FALSE",""
"Architecture, Design and Threat Modeling Requirements (V1)","Authentication Architectural Requirements","Verify implementation of centralised security controls","FALSE","Todo: Subtask","FALSE","TRUE","1.2.3","Ensure the application leverages centralized security mechanisms rather than duplicating ad-hoc controls in multiple places. Examples: using a central authentication service (like LDAP/OAuth or a single sign-on provider) rather than separate login logic in each module, or a unified access control library that all components call. Centralized controls (for auth, access control, input validation, etc.) help maintain consistency and are less prone to human error. If every developer writes their own security check, some part of the app might do it incorrectly. A central, well-vetted control reduces that risk and makes updates easier (fix in one place).

Todo: Description","- **Architecture Review**: Identify security functions like authentication, authorization, input sanitization, logging, etc., and see if the design uses centralized services/libraries for these. For instance, verify that all modules use a common auth service or API gateway for login. If different parts of the app have separate login pages or separate user stores, that’s a red flag.
- **Code Review**: If available, scan the codebase for multiple implementations of the same thing. E.g., search for password validation logic in multiple modules – ideally, there should be one module or service responsible for that. Tools like **grep** or static analysis can find duplicates. If you find hard-coded security decisions scattered around (like various SQL queries checking roles), that might indicate no central enforcement point.
- **Interviews**: Ask developers/architects if they use frameworks or centralized services: *“Do you use a single sign-on or centralized user identity service?”*, *“Is there a global access control mechanism (like an API gateway or middleware) that every request goes through?”*. Their answers will reveal if security is consistently applied or if it’s siloed.
- **Testing**: It’s a bit conceptual, but consider a scenario: if you bypass one component’s security (like calling a backend API directly), would a central control still enforce rules? For example, if an API gateway is the centralized control, calling the microservice directly (bypassing the gateway) should fail. If it doesn’t, that means security checks were not centralized at the gateway and had to be done individually (and one was missed). This kind of test can show whether central controls are truly in place.

Todo: Tools","- **OWASP ASVS 1.2.3** – Advises that security controls (like authentication, access control, input validation) be implemented in a centralized way. The idea is one primary location or service for each control.
- **OWASP Top 10: A5-Security Misconfiguration** – One cause of misconfig is not having centralized config or controls, leading to inconsistent settings. Centralizing security controls helps avoid misconfiguration and omissions in some parts of the app.
- **PTES Architectural Review** – The Penetration Testing Execution Standard suggests reviewing whether an application uses a common security framework. It implies that if an app leverages well-known centralized frameworks (like Spring Security, Express middleware, etc.), it’s less likely to have custom, inconsistent checks everywhere.

Todo: Links","Applies to complex applications with multiple components or teams. Simpler apps (small codebase) might inherently have “one place” for a control just because there’s only one. Mark N/A only if the application scope is so limited that there’s no chance for duplicate controls (e.g., a basic app where all security is naturally in one spot). Otherwise, any enterprise app or multi-service app should be evaluated on this front. If the organization has a security framework or uses a platform (like a CMS) that provides central controls, this item is about verifying they actually use it.

Todo: Applicability","https://owasp.org/ASVS/Pages/Requirement_1.2_Authentication_Architectural#v123, https://www.iso.org/standard/73906.html

Todo: Sources","Todo: Tags","2","FALSE",""
